         52294458 function calls (37544902 primitive calls) in 47.447 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   47.447   47.447 main.py:235(program)
        1    0.000    0.000   47.366   47.366 C:\Program Files\Python37\lib\curses\__init__.py:67(wrapper)
        1    0.126    0.126   47.336   47.336 main.py:194(main)
    17523    0.025    0.000   31.052    0.002 C:\Users\maxim\Desktop\empty\kernel\state_system.py:123(draw)
     3486    0.072    0.000   28.568    0.008 <string>:110(draw)
     3486    3.878    0.001   28.397    0.008 C:\Users\maxim\Desktop\empty\kernel\space.py:243(draw)
5785675/990245    4.529    0.000   14.985    0.000 C:\Users\maxim\Desktop\empty\kernel\quadtree.py:69(query)
    17523    0.071    0.000   13.956    0.001 C:\Users\maxim\Desktop\empty\kernel\state_system.py:126(endframe)
     4475   11.036    0.002   11.036    0.002 {method 'refresh' of '_curses.window' objects}
     3487    0.011    0.000    8.602    0.002 <string>:144(endframe)
  1906021    4.387    0.000    7.524    0.000 C:\Users\maxim\Desktop\empty\kernel\vector2d.py:135(is_inside)
        1    0.050    0.050    5.106    5.106 C:\Program Files\Python37\lib\json\__init__.py:184(dumps)
        1    0.468    0.468    5.056    5.056 C:\Program Files\Python37\lib\json\encoder.py:182(encode)
   983273    2.394    0.000    4.790    0.000 C:\Users\maxim\Desktop\empty\kernel\vector2d.py:93(__sub__)
  1838545    0.525    0.000    4.543    0.000 C:\Program Files\Python37\lib\json\encoder.py:413(_iterencode)
   983273    1.252    0.000    4.154    0.000 C:\Users\maxim\Desktop\empty\kernel\game_object.py:212(draw)
11742793/1838545    3.620    0.000    4.017    0.000 C:\Program Files\Python37\lib\json\encoder.py:333(_iterencode_dict)
 11469055    3.689    0.000    3.689    0.000 C:\Users\maxim\Desktop\empty\kernel\vector2d.py:56(x)
   494944    0.430    0.000    3.287    0.000 C:\Users\maxim\Desktop\empty\kernel\quadtree.py:45(overlap)
   983273    1.736    0.000    2.886    0.000 <string>:24(draw)
   494944    1.783    0.000    2.857    0.000 C:\Users\maxim\Desktop\empty\kernel\vector2d.py:139(overlap)
